x, y, z,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),squared[mbe (breiman) - mbe (silverman)],squared[mbe (breiman) - parzen],squared[mbe (breiman) - sambe (breiman)],squared[mbe (breiman) - sambe (silverman)],squared[mbe (silverman) - parzen],squared[mbe (silverman) - sambe (breiman)],squared[mbe (silverman) - sambe (silverman)],squared[parzen - sambe (breiman)],squared[parzen - sambe (silverman)],squared[sambe (breiman) - sambe (silverman)]
7.884103508440376551e-01, 2.703213893502698362e-01, 3.603381742856948122e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.946280809999999986e-07, 1.800000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.535825547137425416e-13, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.535825547137425416e-13, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.535825547137425416e-13, 3.535825547137425416e-13, 0.000000000000000000e+00
7.884103508440376551e-01, 2.703213893502698362e-01, 5.176559056753702492e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.844086000000000119e-08, 1.800000000000000000e+02, 8.934802099999999718e-08, 2.000000000000000000e+00, 9.131676699999999823e-08, 2.000000000000000000e+00, 0.000000000000000000e+00, 3.400653175396000551e-16, 7.983068856616440660e-15, 8.338751935332289226e-15, 3.400653175396000551e-16, 7.983068856616440660e-15, 8.338751935332289226e-15, 5.027825481079919340e-15, 5.310897821072649647e-15, 3.875960812516004467e-18
7.884103508440376551e-01, 2.703213893502698362e-01, 9.992779939221711061e+01, 1.500090660000000046e-07, 1.000000000000000000e+00, 1.540046539999999972e-07, 1.000000000000000000e+00, 1.308154959999999964e-07, 1.800000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.596472346574393971e-17, 3.683931293449003074e-16, 2.250271988219235624e-14, 2.250271988219235624e-14, 5.377370487489640049e-16, 2.371743345365971377e-14, 2.371743345365971377e-14, 1.711269399372601574e-14, 1.711269399372601574e-14, 0.000000000000000000e+00
4.937055164219495396e+01, 2.703213893502698362e-01, 3.603381742856948122e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.637643630000000160e-07, 1.800000000000000000e+02, 1.636250619999999977e-07, 3.200000000000000000e+01, 1.642487590000000032e-07, 3.200000000000000000e+01, 0.000000000000000000e+00, 2.150773843887957843e-13, 2.677316091450384318e-14, 2.697765483304008059e-14, 2.150773843887957843e-13, 2.677316091450384318e-14, 2.697765483304008059e-14, 9.008360000476863411e-14, 8.970959703948482994e-14, 3.889979478090068305e-19
4.937055164219495396e+01, 2.703213893502698362e-01, 5.176559056753702492e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.920262070000000115e-07, 1.800000000000000000e+02, 9.582268699999999998e-08, 1.000000000000000000e+00, 9.582268699999999998e-08, 1.000000000000000000e+00, 0.000000000000000000e+00, 3.687406417480685482e-14, 9.181987343899969380e-15, 9.181987343899969380e-15, 3.687406417480685482e-14, 9.181987343899969380e-15, 9.181987343899969380e-15, 9.255117260390402629e-15, 9.255117260390402629e-15, 0.000000000000000000e+00
4.937055164219495396e+01, 2.703213893502698362e-01, 9.992779939221711061e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.531339500000000471e-08, 1.800000000000000000e+02, 1.028602510000000065e-07, 2.000000000000000000e+00, 1.028602510000000065e-07, 2.000000000000000000e+00, 0.000000000000000000e+00, 9.084643266426025677e-15, 1.058023123578300216e-14, 1.058023123578300216e-14, 9.084643266426025677e-15, 1.058023123578300216e-14, 1.058023123578300216e-14, 5.695503548473603114e-17, 5.695503548473603114e-17, 0.000000000000000000e+00
9.795269293354586182e+01, 2.703213893502698362e-01, 3.603381742856948122e+00, 1.304708780000000115e-07, 1.000000000000000000e+00, 1.298561459999999952e-07, 1.000000000000000000e+00, 1.404830750000000087e-07, 1.800000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.778954318240201112e-19, 1.002440887668089434e-16, 1.702265000609088559e-14, 1.702265000609088559e-14, 1.129316199710412832e-16, 1.686261865397331618e-14, 1.686261865397331618e-14, 1.973549436145562818e-14, 1.973549436145562818e-14, 0.000000000000000000e+00
9.795269293354586182e+01, 2.703213893502698362e-01, 5.176559056753702492e+01, 2.455303370000000071e-07, 2.000000000000000000e+00, 2.415865220000000177e-07, 2.000000000000000000e+00, 3.197628360000000165e-07, 1.800000000000000000e+02, 2.971562820000000080e-07, 3.000000000000000000e+00, 2.951137400000000145e-07, 3.000000000000000000e+00, 1.555367675422491646e-17, 5.510463907785002524e-15, 2.665238197143025280e-15, 2.458513853060409828e-15, 6.111536070626595988e-15, 3.087998226457598815e-15, 2.865163066819523493e-15, 5.110562837549164219e-16, 6.075779336172160545e-16, 4.171977821763973379e-18
9.795269293354586182e+01, 2.703213893502698362e-01, 9.992779939221711061e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.049608070000000148e-07, 1.800000000000000000e+02, 1.377075909000000082e-06, 3.000000000000000000e+01, 1.377075909000000082e-06, 3.000000000000000000e+01, 0.000000000000000000e+00, 9.300109380609126207e-14, 1.896338059148176581e-12, 1.896338059148176581e-12, 9.300109380609126207e-14, 1.896338059148176581e-12, 1.896338059148176581e-12, 1.149430791936470458e-12, 1.149430791936470458e-12, 0.000000000000000000e+00
7.884103508440376551e-01, 4.930647280770723739e+01, 3.603381742856948122e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.436924799999999853e-08, 1.800000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.143400088085503433e-15, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.143400088085503433e-15, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.143400088085503433e-15, 4.143400088085503433e-15, 0.000000000000000000e+00
7.884103508440376551e-01, 4.930647280770723739e+01, 5.176559056753702492e+01, 3.202331260000000133e-07, 2.000000000000000000e+00, 3.341157009999999995e-07, 2.000000000000000000e+00, 4.208285699999999912e-07, 1.800000000000000000e+02, 2.172193739999999879e-07, 6.000000000000000000e+00, 2.214609189999999976e-07, 6.000000000000000000e+00, 1.927258886306246163e-16, 1.011944335355713120e-14, 1.061183310111750957e-14, 9.755948875650851762e-15, 7.519121650211160209e-15, 1.366475126609093231e-14, 1.269109990746752446e-14, 4.145670469576641474e-14, 3.974746026525779654e-14, 1.799070398702508285e-17
7.884103508440376551e-01, 4.930647280770723739e+01, 9.992779939221711061e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.504238799999999896e-08, 1.800000000000000000e+02, 1.125746119999999960e-07, 1.000000000000000000e+00, 1.125746119999999960e-07, 1.000000000000000000e+00, 0.000000000000000000e+00, 4.230512236742543824e-15, 1.267304326695054372e-14, 1.267304326695054372e-14, 4.230512236742543824e-15, 1.267304326695054372e-14, 1.267304326695054372e-14, 2.259312318386175577e-15, 2.259312318386175577e-15, 0.000000000000000000e+00
4.937055164219495396e+01, 4.930647280770723739e+01, 3.603381742856948122e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.455867560000000069e-07, 1.800000000000000000e+02, 6.918468530000000105e-07, 1.800000000000000000e+01, 6.918468530000000105e-07, 1.800000000000000000e+01, 0.000000000000000000e+00, 2.119550352260353674e-14, 4.786520680060036141e-13, 4.786520680060036141e-13, 2.119550352260353674e-14, 4.786520680060036141e-13, 4.786520680060036141e-13, 2.984000935744493674e-13, 2.984000935744493674e-13, 0.000000000000000000e+00
4.937055164219495396e+01, 4.930647280770723739e+01, 5.176559056753702492e+01, 1.251286340000000041e-07, 1.000000000000000000e+00, 1.234318549999999932e-07, 1.000000000000000000e+00, 6.793231880000000476e-07, 1.800000000000000000e+02, 3.183675320000000054e-07, 5.000000000000000000e+00, 3.119157769999999838e-07, 5.000000000000000000e+00, 2.879058974841036663e-18, 3.071316036832590068e-13, 3.734127170025440757e-14, 3.488943679010244363e-14, 3.090151741045169290e-13, 3.799991816744833428e-14, 3.552618885250208155e-14, 1.302889855983903694e-13, 1.349882056577229677e-13, 4.162514258002527707e-17
4.937055164219495396e+01, 4.930647280770723739e+01, 9.992779939221711061e+01, 1.166914210000000010e-07, 1.000000000000000000e+00, 1.134390279999999966e-07, 1.000000000000000000e+00, 3.995845579999999991e-07, 1.800000000000000000e+02, 4.073442419999999758e-07, 8.000000000000000000e+00, 4.060407800000000252e-07, 8.000000000000000000e+00, 1.057806022644902965e-17, 8.002852696170077243e-14, 8.447906235525803258e-14, 8.372305155371090587e-14, 8.187926433898089624e-14, 8.638027481638577190e-14, 8.561578527346951326e-14, 6.021269577985564297e-17, 4.168280251328433841e-17, 1.699013185443871015e-18
9.795269293354586182e+01, 4.930647280770723739e+01, 3.603381742856948122e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.372536400000000278e-08, 1.800000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.137400176932496098e-15, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.137400176932496098e-15, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.137400176932496098e-15, 1.137400176932496098e-15, 0.000000000000000000e+00
9.795269293354586182e+01, 4.930647280770723739e+01, 5.176559056753702492e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.818180199999999735e-08, 1.800000000000000000e+02, 4.446190589999999948e-07, 3.700000000000000000e+01, 4.439665410000000234e-07, 3.700000000000000000e+01, 0.000000000000000000e+00, 2.321486043967203683e-15, 1.976861076260454813e-13, 1.971062895275047095e-13, 2.321486043967203683e-15, 1.976861076260454813e-13, 1.971062895275047095e-13, 1.571624987376840282e-13, 1.566455596252981237e-13, 4.257797403239626618e-19
9.795269293354586182e+01, 4.930647280770723739e+01, 9.992779939221711061e+01, 1.349326130000000070e-07, 1.000000000000000000e+00, 1.352801030000000074e-07, 1.000000000000000000e+00, 1.854081529999999875e-07, 1.800000000000000000e+02, -9.416314999999999241e-09, 0.000000000000000000e+00, -9.416314999999999241e-09, 0.000000000000000000e+00, 1.207493001000002845e-19, 2.547780138291597988e-15, 2.083661301474918111e-14, 2.083661301474918111e-14, 2.512821396802498083e-15, 2.093705338203072111e-14, 2.093705338203072111e-14, 3.795657333148301431e-14, 3.795657333148301431e-14, 0.000000000000000000e+00
7.884103508440376551e-01, 9.834262422606420273e+01, 3.603381742856948122e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.346722000000000016e-09, 1.800000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.120054814528399936e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.120054814528399936e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.120054814528399936e-17, 1.120054814528399936e-17, 0.000000000000000000e+00
7.884103508440376551e-01, 9.834262422606420273e+01, 5.176559056753702492e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.386260000000000093e-09, 1.800000000000000000e+02, 1.159734680000000059e-07, 8.000000000000000000e+00, 1.173399410000000016e-07, 8.000000000000000000e+00, 0.000000000000000000e+00, 5.455683678760000058e-17, 1.344984527994702473e-14, 1.376866175388348064e-14, 5.455683678760000058e-17, 1.344984527994702473e-14, 1.376866175388348064e-14, 1.179118174123526439e-14, 1.208981196544976151e-14, 1.867248459728988387e-18
7.884103508440376551e-01, 9.834262422606420273e+01, 9.992779939221711061e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.272651000000000179e-09, 1.800000000000000000e+02, 4.635395700000000220e-08, 1.000000000000000000e+00, 4.635395700000000220e-08, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.071024456780100097e-17, 2.148689329557849316e-15, 2.148689329557849316e-15, 1.071024456780100097e-17, 2.148689329557849316e-15, 2.148689329557849316e-15, 1.855998926665636001e-15, 1.855998926665636001e-15, 0.000000000000000000e+00
