x, y, z,true densities,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),mbe (breiman) - mbe (silverman),mbe (breiman) - parzen,mbe (breiman) - sambe (breiman),mbe (breiman) - sambe (silverman),mbe (silverman) - parzen,mbe (silverman) - sambe (breiman),mbe (silverman) - sambe (silverman),parzen - sambe (breiman),parzen - sambe (silverman),sambe (breiman) - sambe (silverman)
5.488135039273247173e+01, 6.706378696181593568e+01, 5.254777738424861155e+01, 4.661086409437710496e-06, 9.808314406000000557e-06, 2.000000000000000000e+00, 1.017588304300000070e-05, 3.000000000000000000e+00, 1.149426239699999923e-05, nan, 3.780987660000000012e-06, 1.000000000000000000e+00, 6.232311779000000087e-06, 3.000000000000000000e+00, -3.675686370000001398e-07, -1.685947990999998674e-06, 6.027326746000000968e-06, 3.576002627000000470e-06, -1.318379353999998534e-06, 6.394895383000001108e-06, 3.943571264000000609e-06, 7.713274736999999642e-06, 5.261950617999999143e-06, -2.451324119000000075e-06
7.151893663724194994e+01, 2.103825610738408969e+01, 4.723884552531728787e+01, 4.161885066828828253e-06, 6.160303668999999776e-06, 1.000000000000000000e+00, 4.509855510999999881e-06, 1.000000000000000000e+00, 1.149426239699999923e-05, nan, 5.015364525000000253e-06, 1.000000000000000000e+00, 8.441532599000000606e-06, 2.000000000000000000e+00, 1.650448157999999895e-06, -5.333958727999999455e-06, 1.144939143999999523e-06, -2.281228930000000830e-06, -6.984406885999999350e-06, -5.055090140000003722e-07, -3.931677088000000725e-06, 6.478897871999998978e-06, 3.052729797999998625e-06, -3.426168074000000353e-06
6.027633760716438616e+01, 1.289262976548533146e+01, 5.089966325985182749e+01, 8.227038582309204878e-06, 6.160303668999999776e-06, 1.000000000000000000e+00, 7.283448797000000309e-06, 2.000000000000000000e+00, 1.149426239699999923e-05, nan, 2.103718841999999817e-06, 1.000000000000000000e+00, 2.417020765000000155e-06, 2.000000000000000000e+00, -1.123145128000000533e-06, -5.333958727999999455e-06, 4.056584827000000383e-06, 3.743282903999999621e-06, -4.210813599999998922e-06, 5.179729955000000069e-06, 4.866428031999999731e-06, 9.390543554999998991e-06, 9.077241631999998653e-06, -3.133019230000003380e-07
5.448831829968968776e+01, 3.154283509241838601e+01, 4.846871808497964906e+01, 7.056033635856464670e-06, 6.160303668999999776e-06, 1.000000000000000000e+00, 7.170776970000000125e-06, 2.000000000000000000e+00, 1.149426239699999923e-05, nan, 9.546657719999999527e-06, 3.000000000000000000e+00, 7.934370431000000633e-06, 3.000000000000000000e+00, -1.010473301000000349e-06, -5.333958727999999455e-06, -3.386354050999999751e-06, -1.774066762000000857e-06, -4.323485426999999106e-06, -2.375880749999999402e-06, -7.635934610000005081e-07, 1.947604676999999704e-06, 3.559891965999998598e-06, 1.612287288999998894e-06
4.236547993389046951e+01, 3.637107709426226165e+01, 4.805283837981628636e+01, 6.105693393928296343e-06, 6.160303668999999776e-06, 1.000000000000000000e+00, 4.509855510999999881e-06, 1.000000000000000000e+00, 1.149426239699999923e-05, nan, 6.730296461999999833e-06, 2.000000000000000000e+00, 6.464836642000000066e-06, 3.000000000000000000e+00, 1.650448157999999895e-06, -5.333958727999999455e-06, -5.699927930000000571e-07, -3.045329730000002905e-07, -6.984406885999999350e-06, -2.220440950999999952e-06, -1.954981131000000185e-06, 4.763965934999999398e-06, 5.029425754999999165e-06, 2.654598199999997667e-07
6.458941130666561037e+01, 5.701967704178796481e+01, 4.870565280083380344e+01, 7.544599798725478692e-06, 1.710324475300000087e-05, 2.000000000000000000e+00, 1.621878942599999917e-05, 2.000000000000000000e+00, 1.899792660900000011e-05, nan, 1.724966456699999925e-05, 2.000000000000000000e+00, 1.628421783599999978e-05, 2.000000000000000000e+00, 8.844553270000017034e-07, -1.894681855999999238e-06, -1.464198139999983825e-07, 8.190269170000010943e-07, -2.779137183000000941e-06, -1.030875141000000086e-06, -6.542841000000060910e-08, 1.748262042000000855e-06, 2.713708773000000332e-06, 9.654467309999994768e-07
4.375872112626925059e+01, 4.386015134623203693e+01, 4.930334735960100545e+01, 8.572645618795931427e-06, 6.160303668999999776e-06, 1.000000000000000000e+00, 4.509855510999999881e-06, 1.000000000000000000e+00, 1.149426239699999923e-05, nan, 6.023316834000000287e-06, 1.000000000000000000e+00, 9.628415561999999493e-06, 3.000000000000000000e+00, 1.650448157999999895e-06, -5.333958727999999455e-06, 1.369868349999994885e-07, -3.468111892999999717e-06, -6.984406885999999350e-06, -1.513461323000000406e-06, -5.118560050999999612e-06, 5.470945562999998943e-06, 1.865846834999999738e-06, -3.605098727999999206e-06
8.917730007820797766e+01, 9.883738380592261308e+01, 5.012558952320524952e+01, 8.906561418742206694e-06, 1.560578380600000049e-05, 2.000000000000000000e+00, 1.449857343699999966e-05, 2.000000000000000000e+00, 1.802508876500000023e-05, nan, 1.199820405999999965e-05, 3.000000000000000000e+00, 1.255178710100000037e-05, 4.000000000000000000e+00, 1.107210369000000835e-06, -2.419304958999999742e-06, 3.607579746000000840e-06, 3.053996705000000121e-06, -3.526515328000000578e-06, 2.500369377000000005e-06, 1.946786335999999286e-06, 6.026884705000000583e-06, 5.473301663999999864e-06, -5.535830410000007191e-07
9.636627605010292541e+01, 1.020448107480280697e+01, 4.739464575203535901e+01, 4.524822909064383245e-06, 6.160303668999999776e-06, 1.000000000000000000e+00, 4.509855510999999881e-06, 1.000000000000000000e+00, 1.149426239699999923e-05, nan, 4.739270547999999982e-06, 2.000000000000000000e+00, 3.497839432999999994e-06, 2.000000000000000000e+00, 1.650448157999999895e-06, -5.333958727999999455e-06, 1.421033120999999794e-06, 2.662464235999999782e-06, -6.984406885999999350e-06, -2.294150370000001010e-07, 1.012016077999999887e-06, 6.754991848999999249e-06, 7.996422963999998390e-06, 1.241431114999999988e-06
3.834415188257776919e+01, 2.088767560948346969e+01, 5.201430926076189110e+01, 5.945420956956823734e-06, 6.160303668999999776e-06, 1.000000000000000000e+00, 7.164662200999999773e-06, 2.000000000000000000e+00, 1.149426239699999923e-05, nan, 4.198060103000000313e-06, 3.000000000000000000e+00, 3.609403464999999878e-06, 3.000000000000000000e+00, -1.004358531999999997e-06, -5.333958727999999455e-06, 1.962243565999999463e-06, 2.550900203999999898e-06, -4.329600195999999458e-06, 2.966602097999999460e-06, 3.555258735999999895e-06, 7.296202293999998918e-06, 7.884858931999999353e-06, 5.886566380000004354e-07
