x, y, z,true densities,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),mbe (breiman) - mbe (silverman),mbe (breiman) - parzen,mbe (breiman) - sambe (breiman),mbe (breiman) - sambe (silverman),mbe (silverman) - parzen,mbe (silverman) - sambe (breiman),mbe (silverman) - sambe (silverman),parzen - sambe (breiman),parzen - sambe (silverman),sambe (breiman) - sambe (silverman)
5.966211262506396906e+01, 5.219175129571023319e+01, 5.536076871781845909e+01, 2.380771564155752663e-05, 5.376562529199999969e-05, 2.000000000000000000e+00, 2.921512697800000111e-05, 1.000000000000000000e+00, 4.672349687900000104e-05, nan, 2.504807858299999901e-05, 3.000000000000000000e+00, 2.955734642900000050e-05, 3.000000000000000000e+00, 2.455049831399999858e-05, 7.042128412999998659e-06, 2.871754670900000068e-05, 2.420827886299999919e-05, -1.750836990099999992e-05, 4.167048395000002100e-06, -3.422194509999993881e-07, 2.167541829600000202e-05, 1.716615045000000053e-05, -4.509267846000001488e-06
6.227387754162555922e+01, 6.022903638654148040e+01, 4.464722860240865998e+01, 2.201530414057236995e-06, 1.783115506600000075e-05, 2.000000000000000000e+00, 1.375750405899999958e-05, 2.000000000000000000e+00, 1.985679522199999917e-05, nan, 9.261720395999999643e-06, 1.000000000000000000e+00, 1.070068912600000046e-05, 2.000000000000000000e+00, 4.073651007000001170e-06, -2.025640155999998421e-06, 8.569434670000001104e-06, 7.130465940000000285e-06, -6.099291162999999591e-06, 4.495783662999999934e-06, 3.056814932999999115e-06, 1.059507482599999952e-05, 9.156106095999998705e-06, -1.438968730000000820e-06
5.520384857903152209e+01, 4.917098242774342509e+01, 4.943464706512885698e+01, 1.214813179784872209e-04, 5.396715958099999871e-05, 2.000000000000000000e+00, 4.390984062199999692e-05, 1.000000000000000000e+00, 6.130624650800000578e-05, nan, 3.853527765700000160e-05, 2.000000000000000000e+00, 4.720263416399999917e-05, 2.000000000000000000e+00, 1.005731895900000179e-05, -7.339086927000007066e-06, 1.543188192399999712e-05, 6.764525416999999546e-06, -1.739640588600000886e-05, 5.374562964999995323e-06, -3.292793542000002247e-06, 2.277096885100000418e-05, 1.410361234400000661e-05, -8.667356506999997570e-06
5.224894061589475314e+01, 5.078895913188413402e+01, 5.796538404545767520e+01, 6.154590661994740477e-05, 1.725753965800000002e-05, 1.000000000000000000e+00, 1.608843282799999922e-05, 1.000000000000000000e+00, 3.139106000000000231e-05, nan, 4.816881881399999850e-05, 3.000000000000000000e+00, 1.860547156399999891e-05, 2.000000000000000000e+00, 1.169106830000000801e-06, -1.413352034200000230e-05, -3.091127915599999510e-05, -1.347931905999998894e-06, -1.530262717200000310e-05, -3.208038598600000267e-05, -2.517038735999999695e-06, -1.677775881399999619e-05, 1.278558843600000340e-05, 2.956334724999999959e-05
5.416837529175425203e+01, 5.066644151217935388e+01, 5.243113905021835564e+01, 1.305934198019915917e-04, 1.578029288040000107e-04, 4.000000000000000000e+00, 2.344749033640000104e-04, 4.000000000000000000e+00, 9.674612551600000345e-05, nan, 1.580382671469999904e-04, 5.000000000000000000e+00, 2.285717115940000103e-04, 5.000000000000000000e+00, -7.667197455999999966e-05, 6.105680328800000729e-05, -2.353383429999796311e-07, -7.076878278999999957e-05, 1.377287778480000069e-04, 7.643663621700002003e-05, 5.903191770000000083e-06, -6.129214163099998692e-05, -1.318255860780000069e-04, -7.053344444700001994e-05
5.182760955963249216e+01, 5.818340811064832252e+01, 4.887630191076875974e+01, 5.910976564339943560e-05, 7.544635677400000082e-05, 3.000000000000000000e+00, 9.284602355200000253e-05, 3.000000000000000000e+00, 6.203041506900000448e-05, nan, 6.164959717699999440e-05, 4.000000000000000000e+00, 7.523099984400000260e-05, 4.000000000000000000e+00, -1.739966677800000171e-05, 1.341594170499999634e-05, 1.379675959700000642e-05, 2.153569299999982247e-07, 3.081560848299999805e-05, 3.119642637500000812e-05, 1.761502370799999993e-05, 3.808178920000100795e-07, -1.320058477499999811e-05, -1.358140266700000819e-05
5.171474242220496365e+01, 4.532192497315394064e+01, 3.601669888786715035e+01, 5.409282233836029416e-06, 1.091646573999999939e-05, 1.000000000000000000e+00, 8.094098881999999264e-06, 1.000000000000000000e+00, 1.985679522199999917e-05, nan, 1.049725131199999984e-05, 1.000000000000000000e+00, 7.783269065999999894e-06, 1.000000000000000000e+00, 2.822366858000000130e-06, -8.940329481999999774e-06, 4.192144279999995517e-07, 3.133196673999999500e-06, -1.176269633999999990e-05, -2.403152430000000578e-06, 3.108298159999993703e-07, 9.359543909999999326e-06, 1.207352615599999927e-05, 2.713982245999999949e-06
5.358001648727528732e+01, 5.473471205639373238e+01, 4.593499476932110070e+01, 8.204162625376634299e-05, 9.965949090100000094e-05, 3.000000000000000000e+00, 1.427700783150000099e-04, 3.000000000000000000e+00, 7.988022863499999861e-05, nan, 9.680445994300000386e-05, 4.000000000000000000e+00, 1.340659074360000104e-04, 4.000000000000000000e+00, -4.311058741400000899e-05, 1.977926226600000234e-05, 2.855030957999997085e-06, -3.440641653500000946e-05, 6.288984968000001132e-05, 4.596561837200000607e-05, 8.704170878999999529e-06, -1.692423130800000525e-05, -5.418567880100001179e-05, -3.726144749300000654e-05
6.243195807559668964e+01, 4.203411113161038060e+01, 5.025062972123992466e+01, 5.599905448568972168e-06, 1.091646573999999939e-05, 1.000000000000000000e+00, 8.094098881999999264e-06, 1.000000000000000000e+00, 1.985679522199999917e-05, nan, 1.025761946900000006e-05, 1.000000000000000000e+00, 7.605592161999999808e-06, 1.000000000000000000e+00, 2.822366858000000130e-06, -8.940329481999999774e-06, 6.588462709999993376e-07, 3.310873577999999586e-06, -1.176269633999999990e-05, -2.163520587000000793e-06, 4.885067199999994556e-07, 9.599175752999999112e-06, 1.225120305999999936e-05, 2.652027307000000248e-06
4.897475182940186755e+01, 5.839537751379173613e+01, 5.804800943342429065e+01, 2.042587525352922479e-05, 1.091646573999999939e-05, 1.000000000000000000e+00, 8.094098881999999264e-06, 1.000000000000000000e+00, 1.985679522199999917e-05, nan, 2.622137419499999988e-05, 2.000000000000000000e+00, 2.519379018700000102e-05, 2.000000000000000000e+00, 2.822366858000000130e-06, -8.940329481999999774e-06, -1.530490845500000218e-05, -1.427732444700000163e-05, -1.176269633999999990e-05, -1.812727531300000231e-05, -1.709969130500000006e-05, -6.364578973000000714e-06, -5.336994965000001851e-06, 1.027584007999998863e-06
