x, y, z,true densities,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),mbe (breiman) - mbe (silverman),mbe (breiman) - parzen,mbe (breiman) - sambe (breiman),mbe (breiman) - sambe (silverman),mbe (silverman) - parzen,mbe (silverman) - sambe (breiman),mbe (silverman) - sambe (silverman),parzen - sambe (breiman),parzen - sambe (silverman),sambe (breiman) - sambe (silverman)
5.488135039273247173e+01, 1.193293810286138168e+01, 1.965823616800534879e+01, 4.092988701038019939e-06, 3.332303150999999943e-06, 3.000000000000000000e+00, 3.997907543000000236e-06, 3.000000000000000000e+00, 2.977699187000000004e-06, nan, 5.037634889999999566e-07, 5.000000000000000000e+00, 5.671787259999999584e-07, 6.000000000000000000e+00, -6.656043920000002927e-07, 3.546039639999999390e-07, 2.828539662000000198e-06, 2.765124424999999985e-06, 1.020208356000000232e-06, 3.494144054000000068e-06, 3.430728817000000278e-06, 2.473935697999999836e-06, 2.410520461000000046e-06, -6.341523700000000184e-08
7.151893663724194994e+01, 8.340468563848677519e+00, 3.687251706609641388e+01, 4.515410005271579704e-06, 1.546728843999999969e-06, 2.000000000000000000e+00, 1.701235081999999900e-06, 2.000000000000000000e+00, 2.508403872999999956e-06, nan, 7.014071630000000110e-07, 6.000000000000000000e+00, 6.595545560000000096e-07, 6.000000000000000000e+00, -1.545062379999999309e-07, -9.616750289999999864e-07, 8.453216809999999585e-07, 8.871742879999999599e-07, -8.071687910000000555e-07, 9.998279189999998894e-07, 1.041680525999999997e-06, 1.806996709999999945e-06, 1.848849317000000052e-06, 4.185260700000000141e-08
6.027633760716438616e+01, 1.507532563148076576e+01, 8.209932298479351687e+01, 4.524886411182636839e-07, 1.235039311000000015e-06, 2.000000000000000000e+00, 1.126675027999999991e-06, 2.000000000000000000e+00, 1.478703465999999999e-06, nan, 1.494396581999999924e-06, 3.000000000000000000e+00, 1.505598080000000058e-06, 4.000000000000000000e+00, 1.083642830000000241e-07, -2.436641549999999839e-07, -2.593572709999999087e-07, -2.705587690000000431e-07, -3.520284380000000080e-07, -3.677215539999999328e-07, -3.789230520000000672e-07, -1.569311599999992478e-08, -2.689461400000005922e-08, -1.120149800000013444e-08
5.448831829968968776e+01, 6.747939487454822860e+00, 9.710127579306126577e+00, 2.065372608676504789e-06, 5.054858993000000306e-06, 4.000000000000000000e+00, 6.495274803999999963e-06, 4.000000000000000000e+00, 3.850220139999999789e-06, nan, 1.261184162000000031e-06, 9.000000000000000000e+00, 1.440133315000000027e-06, 9.000000000000000000e+00, -1.440415810999999657e-06, 1.204638853000000517e-06, 3.793674831000000487e-06, 3.614725678000000491e-06, 2.645054664000000174e-06, 5.234090642000000144e-06, 5.055141489000000149e-06, 2.589035977999999970e-06, 2.410086824999999974e-06, -1.789491529999999957e-07
4.236547993389046951e+01, 1.010231915523563373e+01, 8.379449074988039570e+01, 5.940857522102796784e-06, 1.613920795999999965e-06, 3.000000000000000000e+00, 1.488844043000000038e-06, 3.000000000000000000e+00, 1.461534380999999996e-06, nan, 1.698749727000000004e-06, 3.000000000000000000e+00, 1.582351567000000051e-06, 3.000000000000000000e+00, 1.250767529999999268e-07, 1.523864149999999690e-07, -8.482893100000003900e-08, 3.156922899999991384e-08, 2.730966200000004217e-08, -2.099056839999999658e-07, -9.350752400000001298e-08, -2.372153460000000080e-07, -1.208171860000000552e-07, 1.163981599999999528e-07
6.458941130666561037e+01, 9.581444187052110095e+00, 9.609840789396306704e+00, 5.843801407625629949e-06, 7.784065990000000442e-07, 1.000000000000000000e+00, 7.190455300000000077e-07, 1.000000000000000000e+00, 1.556895730000000047e-06, nan, 1.659714691999999898e-06, 9.000000000000000000e+00, 1.332845974000000087e-06, 8.000000000000000000e+00, 5.936106900000003652e-08, -7.784891310000000024e-07, -8.813080929999998537e-07, -5.544393750000000426e-07, -8.378502000000000389e-07, -9.406691619999998902e-07, -6.138004440000000791e-07, -1.028189619999998513e-07, 2.240497559999999598e-07, 3.268687179999998111e-07
4.375872112626925059e+01, 1.342739851780423344e+01, 9.764594650133957998e+01, 1.837111218433912521e-06, 4.560933359999999812e-07, 1.000000000000000000e+00, 6.905114009999999541e-07, 2.000000000000000000e+00, 9.122350290000000413e-07, nan, 5.706676539999999742e-07, 4.000000000000000000e+00, 4.932597369999999569e-07, 4.000000000000000000e+00, -2.344180649999999728e-07, -4.561416930000000601e-07, -1.145743179999999930e-07, -3.716640099999997570e-08, -2.217236280000000873e-07, 1.198437469999999799e-07, 1.972516639999999971e-07, 3.415673750000000672e-07, 4.189752920000000844e-07, 7.740791700000001725e-08
8.917730007820797766e+01, 1.328558609283251002e+01, 4.686512016477016118e+01, 4.246478610605036520e-06, 4.643022964000000139e-06, 4.000000000000000000e+00, 5.643263649000000415e-06, 4.000000000000000000e+00, 3.107519370000000066e-06, nan, 3.912357790000000422e-06, 1.000000000000000000e+01, 4.186318467999999705e-06, 1.000000000000000000e+01, -1.000240685000000277e-06, 1.535503594000000072e-06, 7.306651739999997164e-07, 4.567044960000004339e-07, 2.535744279000000349e-06, 1.730905858999999993e-06, 1.456945181000000710e-06, -8.048384200000003558e-07, -1.078799097999999638e-06, -2.739606779999992825e-07
9.636627605010292541e+01, 1.034647297679690325e+01, 9.767610881903371478e+01, 5.876116329625484488e-06, 4.560933359999999812e-07, 1.000000000000000000e+00, 3.224981420000000191e-07, 1.000000000000000000e+00, 9.122350290000000413e-07, nan, 3.225785090000000118e-07, 1.000000000000000000e+00, 2.280914059999999912e-07, 1.000000000000000000e+00, 1.335951939999999621e-07, -4.561416930000000601e-07, 1.335148269999999695e-07, 2.280019299999999900e-07, -5.897368870000000222e-07, -8.036699999999263571e-11, 9.440673600000002793e-08, 5.896565200000000825e-07, 6.841436230000001031e-07, 9.448710300000002057e-08
3.834415188257776919e+01, 1.084559710037305713e+01, 6.048455197450459764e+01, 5.536790691474442935e-06, 2.195280403000000140e-06, 3.000000000000000000e+00, 2.255396418999999860e-06, 3.000000000000000000e+00, 2.091413528999999843e-06, nan, 1.148516523999999901e-06, 2.000000000000000000e+00, 1.313900428000000103e-06, 3.000000000000000000e+00, -6.011601599999972099e-08, 1.038668740000002969e-07, 1.046763879000000238e-06, 8.813799750000000367e-07, 1.639828900000000179e-07, 1.106879894999999959e-06, 9.414959909999997577e-07, 9.428970049999999413e-07, 7.775131009999997398e-07, -1.653839040000002015e-07
